GeoFips,GeoName,2021:Q1,2021:Q2
0,United States *,22038226,22740959
1000,Alabama,237303,243554.6
2000,Alaska,52373.8,54020.3
4000,Arizona,388598.8,400155.7
5000,Arkansas,139172.7,143438.4
6000,California,3183281,3290169.6
8000,Colorado,404124.6,416937.1
9000,Connecticut,286975.2,294649.4
10000,Delaware,77687.6,79281.5
11000,District of Columbia,148229.1,151390.1
12000,Florida,1163188.9,1198913.1
13000,Georgia,654267.7,673071.9
15000,Hawaii,86640.4,89660.9
16000,Idaho,89142.7,92300.5
17000,Illinois,907742.7,938215.7
18000,Indiana,401442.4,415343.7
19000,Iowa,210575.6,220929.4
20000,Kansas,185785.2,193139.4
21000,Kentucky,226055.6,234311.1
22000,Louisiana,246028.8,253314.6
23000,Maine,72352.8,74604.3
24000,Maryland,432503.3,443728.9
25000,Massachusetts,607378.5,625112.7
26000,Michigan,540172.1,559479.1
27000,Minnesota,394078.2,407395.3
28000,Mississippi,119916.1,123781.1
29000,Missouri,347150.9,359033.7
30000,Montana,55688.7,57919.4
31000,Nebraska,144702.9,150507.1
32000,Nevada,180311.4,187393.9
33000,New Hampshire,91399.7,93891.1
34000,New Jersey,652223.3,671482.9
35000,New Mexico,104748.4,108241.5
36000,New York,1813747.7,1868223.7
37000,North Carolina,627040.5,646207.3
38000,North Dakota,61700.8,64978.5
39000,Ohio,710819.6,732117.2
40000,Oklahoma,199191.9,205558.5
41000,Oregon,256357.8,264113.3
42000,Pennsylvania,809189.8,832704
44000,Rhode Island,62273.1,64170.5
45000,South Carolina,258333.3,266078.5
46000,South Dakota,58263.9,60810.4
47000,Tennessee,399015.6,411689.2
48000,Texas,1886861.7,1950358.9
49000,Utah,206417.4,212854.5
50000,Vermont,34981.5,36088.5
51000,Virginia,571358.7,586249.7
53000,Washington,638584.6,661519.7
54000,West Virginia,82441.9,85798.9
55000,Wisconsin,352389.3,363585.9
56000,Wyoming,39754.9,41198.9
91000,New England,1155360.9,1188516.4
92000,Mideast,3933580.9,4046811.2
93000,Great Lakes,2912566,3008741.5
94000,Plains,1402257.5,1456793.8
95000,Southeast,4724122.8,4866408.5
96000,Southwest,2579400.8,2664314.6
97000,Rocky Mountain,795128.4,821210.4
98000,Far West,4397548.8,4546877.7
